,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
5,1,8,5,-6546.85,-29.8918,0.0,1.81007,15
6,1,9,6,-6546.29,-29.9713,0.000522656,2.20502,15
7,1,10,7,-6543.61,-30.1973,0.000261328,1.99252,15
8,1,11,8,-6544.66,-30.1016,0.000867917,1.9503,15
9,1,12,9,-6544.46,-30.0886,0.000606589,1.84552,15
10,1,13,10,-6549.65,-29.6275,0.000606589,1.80906,15
0,1,0,0,-6535.7,-22.0066,0.0121096,1.46894,22
1,1,1,1,-6535.75,-21.6805,0.0123181,1.49091,22
2,1,3,2,-6535.18,-21.4245,0.0123181,1.48176,22
3,1,5,3,-6535.7,-21.2244,0.00944177,1.51009,22
4,1,6,4,-6534.81,-22.1083,0.010609,1.52492,22
5,1,9,5,-6534.82,-22.2491,0.012047200000000001,1.4980799999999999,22
6,1,10,6,-6534.72,-21.3856,0.0115678,1.42723,22
7,1,11,7,-6535.11,-21.9266,0.0112968,1.50037,22
8,1,12,8,-6535.82,-21.764,0.0115678,1.47662,22
9,1,13,9,-6537.61,-21.5746,0.0116302,1.52565,22
10,1,14,10,-6538.62,-21.9614,0.013485299999999999,1.57562,22
11,1,15,11,-6537.81,-21.9064,0.0123181,1.5288,22
12,1,16,12,-6538.17,-22.1576,0.0125265,1.54149,22
13,1,17,13,-6537.51,-22.3332,0.013005899999999999,1.54393,22
14,1,18,14,-6537.82,-22.2468,0.013005899999999999,1.58366,22
15,1,19,15,-6538.26,-22.4102,0.012047200000000001,1.57061,22
16,1,20,16,-6537.58,-22.1233,0.0118387,1.49168,22
0,1,0,0,-6517.14,-29.8722,0.0,1.84569,16
1,1,1,1,-6515.24,-28.7516,0.0,1.6886400000000001,16
2,1,2,2,-6509.33,-28.0602,0.0006935210000000001,1.71733,16
3,1,3,3,-6509.11,-27.8532,0.000262463,1.93238,16
4,1,4,4,-6519.56,-29.6179,0.00165908,1.94302,16
5,1,5,5,-6520.15,-29.3918,0.00368535,1.7425400000000002,16
6,1,6,6,-6527.1,-29.7106,0.000871687,1.73596,16
7,1,7,7,-6528.17,-30.2679,0.0,1.9118099999999998,16
8,1,9,8,-6529.58,-30.3069,0.0,2.02478,16
9,1,10,9,-6531.34,-30.1903,0.00104985,2.20209,16
10,1,11,10,-6531.57,-29.6403,0.00248609,2.32691,16
