,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
6,1,9,6,-6540.84,-28.6863,0.0,2.07164,18
7,1,12,7,-6541.24,-28.8059,0.00164084,1.78728,18
8,1,15,8,-6542.38,-29.0662,0.0008732480000000001,1.9486900000000003,18
9,1,19,9,-6539.57,-28.9823,0.00036152300000000004,1.7897299999999998,18
10,1,20,10,-6540.3,-29.0094,0.0,1.9234900000000001,18
0,1,0,0,-6520.76,-26.1951,0.0160396,1.5056399999999999,45
1,1,1,1,-6522.25,-26.1275,0.016557,1.45468,45
2,1,6,2,-6521.24,-24.3295,0.0179502,1.8275599999999999,45
3,1,7,3,-6524.54,-25.066,0.0166367,1.6197700000000002,45
4,1,8,4,-6527.75,-24.3085,0.0162983,1.7218099999999998,45
5,1,9,5,-6530.3,-24.3306,0.0180827,1.81923,45
6,1,10,6,-6527.05,-23.8216,0.018706200000000003,1.64864,45
7,1,12,7,-6525.94,-24.2007,0.0180098,1.83447,45
8,1,13,8,-6527.1,-24.3625,0.0192754,1.76282,45
9,1,19,9,-6524.68,-23.9626,0.0194349,1.91885,45
0,1,0,0,-6526.95,-27.7687,0.0132298,0.978849,32
1,1,2,1,-6526.92,-27.9798,0.0161894,0.838779,32
2,1,3,2,-6527.93,-28.4097,0.0144809,0.761872,32
3,1,5,3,-6531.89,-27.7602,0.015056899999999998,0.7688729999999999,32
4,1,7,4,-6532.04,-27.3755,0.015434200000000002,0.779505,32
5,1,8,5,-6541.26,-27.3874,0.0178184,0.845498,32
6,1,9,6,-6544.04,-27.9437,0.0194869,0.7752680000000001,32
7,1,10,7,-6544.7,-27.8654,0.018712200000000002,0.854016,32
8,1,12,8,-6541.71,-27.7957,0.0168645,0.847281,32
9,1,14,9,-6541.06,-28.3439,0.015434200000000002,0.837464,32
10,1,17,10,-6544.1,-28.1486,0.0158316,0.842714,32
0,1,0,0,-6528.14,-30.2507,0.00778022,1.50429,5
1,1,2,1,-6527.07,-29.9664,0.00779459,1.29455,5
2,1,5,2,-6526.85,-30.5127,0.00757019,1.42814,5
3,1,6,3,-6526.75,-30.6993,0.00748527,1.4640600000000001,5
4,1,9,4,-6529.04,-30.1172,0.00818379,1.41685,5
5,1,11,5,-6529.75,-29.7523,0.00807878,1.43695,5
6,1,13,6,-6529.08,-30.6165,0.00686595,1.48671,5
7,1,14,7,-6530.05,-30.7487,0.00559447,1.48234,5
0,1,0,0,-6528.46,-27.5387,0.013786600000000001,1.04495,30
1,1,1,1,-6531.3,-28.3223,0.013786099999999999,0.738771,30
2,1,2,2,-6532.67,-27.7269,0.012930500000000001,0.73948,30
3,1,3,3,-6533.91,-28.0126,0.0123537,0.675552,30
4,1,4,4,-6533.43,-28.2177,0.0126719,0.7674770000000001,30
5,1,5,5,-6536.19,-27.4239,0.014681200000000002,0.767907,30
6,1,7,6,-6538.24,-27.8365,0.012930500000000001,0.634211,30
7,1,9,7,-6541.69,-28.1166,0.014740799999999998,0.6391680000000001,30
8,1,10,8,-6541.7,-28.0664,0.015258,0.723831,30
9,1,11,9,-6543.86,-28.0145,0.0162925,0.655014,30
10,1,12,10,-6544.31,-27.8889,0.0185603,0.632426,30
11,1,13,11,-6546.04,-27.9838,0.013646700000000001,0.694461,30
12,1,14,12,-6546.65,-27.7848,0.0149994,0.783265,30
13,1,15,13,-6546.83,-27.5608,0.014163900000000002,0.7589279999999999,30
14,1,16,14,-6545.26,-27.3731,0.013069899999999999,0.695314,30
15,1,19,15,-6542.72,-27.0988,0.0151387,0.727651,30
16,1,20,16,-6543.09,-27.5072,0.0133881,0.77735,30
0,1,0,0,-6536.41,-25.6369,0.0172583,0.5733739999999999,28
1,1,1,1,-6537.05,-26.0946,0.016660400000000002,0.704804,28
2,1,2,2,-6538.73,-25.7663,0.015658500000000002,0.784039,28
3,1,5,3,-6542.91,-26.3409,0.016826400000000002,0.846521,28
4,1,6,4,-6543.72,-26.2591,0.013499899999999999,0.974675,28
5,1,7,5,-6543.96,-26.0615,0.014474,0.808716,28
6,1,8,6,-6540.38,-26.6468,0.0161069,0.751929,28
7,1,11,7,-6537.94,-26.3074,0.013815299999999999,0.707921,28
8,1,12,8,-6538.1,-26.3679,0.016660400000000002,0.7016600000000001,28
9,1,14,9,-6538.87,-25.866,0.0151327,0.7787229999999999,28
10,1,15,10,-6540.19,-25.5854,0.0147895,0.882812,28
11,1,16,11,-6541.15,-26.1469,0.014745099999999999,0.865634,28
12,1,17,12,-6541.68,-26.2233,0.0139205,0.9958469999999999,28
13,1,18,13,-6541.46,-26.2951,0.014280200000000002,1.14001,28
14,1,19,14,-6544.45,-26.3281,0.013665799999999999,1.22347,28
15,1,20,15,-6543.25,-26.2798,0.0134112,1.14127,28
0,1,0,0,-6513.67,-29.6889,0.010277,1.69439,2
1,1,1,1,-6513.74,-31.1232,0.0102641,1.6612,2
2,1,2,2,-6521.16,-32.3755,0.010435,1.6069,2
3,1,3,3,-6519.61,-32.1033,0.0096119,1.54455,2
4,1,5,4,-6520.42,-31.6327,0.00851442,1.37234,2
5,1,6,5,-6522.88,-32.4761,0.008659299999999998,1.43228,2
6,1,7,6,-6523.06,-32.3487,0.008659299999999998,1.4576,2
7,1,8,7,-6521.91,-31.6137,0.00840266,1.32754,2
8,1,9,8,-6521.25,-33.5211,0.00814603,1.54071,2
9,1,10,9,-6523.89,-33.216,0.00803427,1.5030299999999999,2
10,1,12,10,-6523.9,-33.4925,0.00766588,1.5345799999999998,2
11,1,13,11,-6526.91,-32.9626,0.00660623,1.46623,2
12,1,15,12,-6530.45,-33.3378,0.00902769,1.5425200000000001,2
13,1,17,13,-6532.25,-33.0885,0.00920568,1.6213,2
14,1,18,14,-6529.95,-32.2557,0.00917256,1.45245,2
15,1,19,15,-6531.44,-33.2404,0.00763276,1.58019,2
0,1,0,0,-6524.32,-29.3476,0.00103113,1.63815,12
1,1,1,1,-6523.3,-27.6042,0.00050784,1.8489799999999998,12
2,1,4,2,-6524.28,-28.5934,0.00231231,1.93252,12
3,1,5,3,-6526.0,-28.3165,0.00165123,1.9029200000000002,12
4,1,11,4,-6527.03,-27.8217,0.00050784,1.87778,12
5,1,12,5,-6530.49,-27.461,0.000872075,1.85789,12
6,1,13,6,-6534.35,-27.643,0.000364235,1.85095,12
7,1,14,7,-6534.14,-27.2772,0.000257782,1.9287299999999998,12
8,1,15,8,-6534.97,-27.8668,0.0,1.91135,12
9,1,16,9,-6536.03,-28.6731,0.000364235,1.98193,12
10,1,17,10,-6533.97,-28.5984,0.0,2.0381299999999998,12
11,1,18,11,-6536.67,-28.3399,0.0,2.0462,12
12,1,19,12,-6538.73,-28.9361,0.000364235,2.11709,12
13,1,20,13,-6539.65,-28.5145,0.000257782,1.93954,12
0,1,0,0,-6528.14,-30.2507,0.00778022,1.50429,6
1,1,1,1,-6528.04,-30.1129,0.00716661,1.39993,6
2,1,2,2,-6527.59,-30.2108,0.007675199999999999,1.48025,6
3,1,9,3,-6527.71,-29.8623,0.00841099,1.5318,6
4,1,10,4,-6527.04,-30.0127,0.00826744,1.63884,6
5,1,13,5,-6524.43,-30.607,0.00694387,1.71881,6
6,1,14,6,-6525.87,-31.1524,0.00595951,1.6526900000000002,6
7,1,16,7,-6529.68,-32.3764,0.00534018,1.61338,6
8,1,17,8,-6529.88,-32.021,0.00610306,1.5533,6
9,1,18,9,-6530.33,-31.3074,0.00534018,1.58289,6
10,1,19,10,-6529.85,-31.4865,0.00559447,1.49299,6
11,1,20,11,-6529.91,-31.8702,0.00635736,1.53027,6
0,1,0,0,-6527.33,-26.4673,0.0159634,1.34988,37
1,1,3,1,-6524.66,-25.9024,0.014729399999999998,1.47479,37
2,1,4,2,-6524.05,-27.1849,0.0155251,0.99344,37
3,1,8,3,-6524.77,-27.493000000000002,0.0148481,0.807862,37
4,1,9,4,-6536.03,-27.6855,0.0168188,0.862534,37
5,1,10,5,-6534.46,-28.1061,0.0158033,0.7164159999999999,37
6,1,14,6,-6533.77,-27.4288,0.0152262,0.725488,37
7,1,19,7,-6532.86,-27.5497,0.0143702,0.7611640000000001,37
8,1,20,8,-6528.74,-27.471,0.014489600000000002,0.885712,37
0,1,0,0,-6528.79,-27.4047,0.0152184,0.814303,40
1,1,1,1,-6530.61,-27.3426,0.0161894,0.75397,40
2,1,2,2,-6532.9,-27.4573,0.0163082,0.762604,40
3,1,3,3,-6534.33,-27.0126,0.0161694,0.8004399999999999,40
4,1,10,4,-6530.71,-27.2572,0.0188248,0.6978989999999999,40
5,1,12,5,-6530.64,-27.5755,0.018745400000000002,0.72154,40
6,1,13,6,-6530.45,-27.648000000000003,0.01934,0.687859,40
7,1,15,7,-6529.24,-27.4052,0.0195976,0.759574,40
8,1,16,8,-6528.67,-27.5817,0.021400799999999998,0.764037,40
9,1,17,9,-6529.1,-27.634,0.0183096,0.681221,40
0,1,0,0,-6524.68,-31.212,0.0120634,1.69261,23
1,1,1,1,-6524.98,-30.836,0.0119465,1.63478,23
2,1,5,2,-6524.99,-30.9117,0.011533499999999999,1.63004,23
3,1,6,3,-6520.77,-30.1809,0.0109117,1.59352,23
4,1,7,4,-6524.95,-30.7704,0.00949111,1.5585200000000001,23
5,1,8,5,-6526.52,-31.3374,0.00960228,1.6152799999999998,23
6,1,9,6,-6526.48,-30.8992,0.00801166,1.6119,23
7,1,11,7,-6526.84,-31.1996,0.00858111,1.5710899999999999,23
8,1,12,8,-6525.48,-30.3804,0.00775637,1.58131,23
9,1,13,9,-6526.43,-31.6289,0.00846994,1.61466,23
10,1,14,10,-6527.38,-31.9397,0.00872523,1.6646599999999998,23
11,1,15,11,-6528.26,-32.8087,0.0079983,1.70633,23
12,1,17,12,-6526.51,-32.8314,0.00876418,1.6893599999999998,23
13,1,18,13,-6525.52,-32.1026,0.00755994,1.60887,23
14,1,19,14,-6524.9,-33.4512,0.00788712,1.6419599999999999,23
0,1,0,0,-6518.24,-31.4371,0.0112838,1.72315,47
1,1,1,1,-6519.6,-31.9558,0.010856900000000001,1.78662,47
2,1,3,2,-6518.34,-32.5462,0.0083319,1.6660099999999998,47
3,1,5,3,-6516.73,-33.051,0.00979252,1.62504,47
4,1,8,4,-6514.16,-33.0627,0.00910138,1.59727,47
5,1,9,5,-6513.59,-32.1084,0.00656954,1.59209,47
6,1,11,6,-6511.05,-32.204,0.00616825,1.60048,47
7,1,14,7,-6509.08,-31.1194,0.00809486,1.80177,47
8,1,15,8,-6512.74,-31.5494,0.00730592,1.7295599999999998,47
9,1,16,9,-6511.99,-31.9295,0.00759552,1.67649,47
10,1,17,10,-6511.57,-32.5204,0.00774032,1.61314,47
11,1,19,11,-6510.7,-32.8047,0.008253299999999998,1.6628900000000002,47
12,1,20,12,-6512.06,-32.102,0.0084767,1.7234900000000002,47
0,1,0,0,-6526.95,-27.7687,0.0132298,0.978849,33
1,1,1,1,-6527.74,-27.9457,0.0164477,0.8579379999999999,33
2,1,2,2,-6529.15,-26.9627,0.0150769,0.7722399999999999,33
3,1,9,3,-6528.57,-27.0305,0.0156335,1.01902,33
4,1,10,4,-6529.31,-27.7589,0.015355200000000003,0.85065,33
5,1,11,5,-6529.76,-27.8769,0.0151365,0.718398,33
6,1,12,6,-6529.2,-27.6185,0.0145404,0.722761,33
7,1,13,7,-6529.29,-27.7593,0.0138848,0.7216199999999999,33
8,1,14,8,-6528.69,-27.5978,0.014024000000000002,0.730748,33
9,1,15,9,-6530.1,-28.1153,0.0143418,0.743668,33
10,1,19,10,-6530.93,-27.9543,0.0131697,0.7816569999999999,33
11,1,20,11,-6530.11,-28.5505,0.0146,0.705846,33
