,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
11,1,15,11,-6539.85,-32.2701,0.00179861,1.27789,25
0,1,0,0,-6536.8,-31.3244,0.00258049,1.21069,21
1,1,1,1,-6534.33,-31.3593,0.00309659,1.17574,21
2,1,10,2,-6528.8,-29.3218,0.00463716,0.8855290000000001,21
3,1,11,3,-6528.06,-29.6712,0.00590421,1.04013,21
4,1,12,4,-6532.92,-31.686,0.00361269,1.20248,21
5,1,13,5,-6538.74,-32.265,0.00361269,1.35545,21
6,1,14,6,-6541.34,-31.6584,0.00335464,1.3191700000000002,21
7,1,15,7,-6542.95,-32.0234,0.00309659,1.39206,21
8,1,17,8,-6541.03,-28.2586,0.00464489,0.979398,21
9,1,18,9,-6544.01,-31.8292,0.00309659,1.20134,21
10,1,19,10,-6544.45,-32.3162,0.00257276,1.35994,21
11,1,20,11,-6544.72,-32.259,0.00282308,1.2718,21
0,1,0,0,-6535.11,-32.2656,0.00232086,1.34545,1
1,1,1,1,-6532.93,-31.6928,0.00206298,1.22353,1
2,1,5,2,-6532.93,-32.459,0.00514201,1.35091,1
3,1,6,3,-6532.1,-32.1943,0.00489186,1.28855,1
4,1,7,4,-6532.33,-32.2317,0.00515746,1.21848,1
5,1,9,5,-6535.85,-32.6713,0.00438384,1.21894,1
6,1,10,6,-6538.08,-32.6282,0.00464172,1.31807,1
7,1,11,7,-6539.35,-32.4069,0.00448261,1.36507,1
8,1,12,8,-6539.44,-32.8366,0.00309448,1.3957600000000001,1
9,1,15,9,-6538.27,-32.478,0.0038680999999999998,1.2171,1
10,1,17,10,-6539.76,-32.4777,0.00550637,1.3840299999999999,1
11,1,18,11,-6537.8,-32.4767,0.00544691,1.38317,1
12,1,19,12,-6538.98,-32.4792,0.00474048,1.4387299999999998,1
13,1,20,13,-6538.27,-32.3438,0.00463399,1.3916,1
0,1,0,0,-6529.46,-30.5504,0.00968533,1.55003,29
1,1,1,1,-6535.33,-31.6279,0.00491015,1.4335,29
2,1,2,2,-6533.63,-30.1486,0.00723601,1.5629,29
3,1,3,3,-6534.98,-30.8196,0.00734273,1.61775,29
4,1,4,4,-6535.81,-31.3991,0.00568543,1.3368799999999998,29
5,1,5,5,-6537.91,-31.2881,0.00465172,1.37649,29
6,1,6,6,-6539.04,-32.2745,0.00284272,1.36285,29
7,1,7,7,-6539.2,-32.3694,0.00405204,1.42288,29
8,1,9,8,-6541.3,-31.7795,0.00436232,1.29175,29
9,1,10,9,-6542.08,-32.1613,0.00514535,1.3319,29
10,1,16,10,-6539.14,-31.5673,0.00512986,1.2041600000000001,29
0,1,0,0,-6534.2,-31.6923,0.0012881,1.28277,18
1,1,1,1,-6539.94,-31.186,0.00257621,1.25128,18
