,#Task,Step,numberOfAcceptedPeleSteps,currentEnergy,Binding Energy,sasaLig,RMSD_core,Processor
3,1,3,3,-6546.31,-29.0423,0.00361453,3.46251,16
4,1,4,4,-6545.51,-29.2431,0.00527216,3.5039599999999997,16
5,1,6,5,-6544.87,-28.8168,0.00497288,3.39623,16
6,1,7,6,-6546.96,-28.6255,0.00331525,3.3515900000000003,16
7,1,8,7,-6547.3,-28.6911,0.00278572,3.33515,16
8,1,10,8,-6547.38,-29.0435,0.00497288,3.4023,16
9,1,11,9,-6547.76,-29.1516,0.00391381,3.6078300000000003,16
10,1,13,10,-6547.94,-29.180999999999997,0.00486621,3.61556,16
11,1,14,11,-6546.91,-29.1145,0.00368354,3.4917800000000003,16
12,1,15,12,-6546.66,-28.9493,0.00437433,3.44849,16
13,1,16,13,-6545.69,-28.8447,0.00474262,3.62335,16
14,1,17,14,-6547.07,-28.840999999999998,0.00474262,3.62166,16
15,1,19,15,-6547.71,-28.7492,0.00652383,3.45269,16
16,1,20,16,-6549.48,-28.7063,0.00652383,3.47824,16
0,1,0,0,-6529.36,-25.5578,0.00177972,1.93387,25
1,1,1,1,-6530.13,-25.2539,0.00177972,1.8667,25
2,1,2,2,-6533.6,-25.4217,0.00255326,2.09722,25
3,1,3,3,-6534.37,-26.5432,0.00135775,2.1615599999999997,25
4,1,4,4,-6534.63,-26.7412,0.0013651,1.8915,25
5,1,5,5,-6537.6,-26.3736,0.00121988,2.05734,25
6,1,8,6,-6538.51,-26.2376,0.00159847,2.3398,25
7,1,9,7,-6537.96,-25.641,0.00172833,2.15846,25
8,1,10,8,-6538.25,-26.5097,0.00159847,2.43513,25
9,1,11,9,-6537.78,-27.586,0.00273355,3.02955,25
10,1,13,10,-6538.18,-27.6463,0.00310412,3.1827,25
11,1,15,11,-6539.22,-28.3674,0.00440146,3.4549199999999995,25
12,1,17,12,-6540.42,-27.8595,0.00410033,3.43961,25
13,1,18,13,-6540.64,-28.5709,0.00523541,3.4731400000000003,25
14,1,19,14,-6540.52,-28.6456,0.00486484,3.53292,25
15,1,20,15,-6541.08,-28.6628,0.00516597,3.7357,25
0,1,0,0,-6529.1,-25.1461,0.00391576,2.1899599999999997,21
1,1,1,1,-6527.8,-25.4741,0.00288486,2.42959,21
2,1,2,2,-6527.87,-25.7803,0.00198658,2.4083799999999997,21
3,1,6,3,-6527.5,-26.288,0.000722503,2.36393,21
4,1,9,4,-6530.47,-26.2239,0.00263374,2.4110400000000003,21
5,1,11,5,-6530.63,-26.2191,0.00251009,2.258,21
6,1,12,6,-6535.01,-26.2696,0.00259441,2.1194599999999997,21
7,1,15,7,-6534.79,-25.9935,0.00132136,1.92323,21
8,1,16,8,-6535.08,-26.3728,0.0013967,2.05976,21
9,1,17,9,-6533.1,-26.3823,0.00147022,2.29671,21
10,1,18,10,-6538.21,-25.7231,0.000889308,1.95492,21
11,1,19,11,-6538.48,-26.2196,0.00140567,1.88245,21
12,1,20,12,-6542.62,-26.0389,0.000683169,1.9219400000000002,21
0,1,0,0,-6529.65,-26.648000000000003,0.00134119,1.8541900000000002,1
